Site Pair;Picture #
"1,2";40
"1,4";41
"1,7";42
"2,4";43
"4,7";44
"2,7";45
"3,6";46
"6,8";47
"3,8";48
"3,5";49
"5,6";50
"5,8";51
"3,2";52
"3,4";53
"3,7";54
"6,2";55
"6,4";56
"6,7";57
"8,2";58
"8,4";59
"8,7";60
