Site Pair;Picture #
"1,2";398
"1,4";399
"1,7";400
"2,3";401
"2,6";402
"2,4";403
"4,3";404
"4,6";405
"7,6";406
"7,8";407
"7,4";408
"3,6";409
"3,5";410
"6,5";411
"8,6";412
"8,5";413
"1,2";414
"1,4";415
"1,7";416
