Site Pair;Picture #
"1,2";419
"1,4";420
"1,7";421
"2,3";422
"2,6";423
"2,4";424
"4,3";425
"4,6";426
"4,8";427
"7,3";428
"7,1";429
"7,8";430
"3,5";431
"3,6";432
"6,5";433
"8,5";434
"8,6";435
