Site Pair;Picture #
"1,2";494
"1,4";495
"1,7";496
"2,4";497
"4,7";499
"2,7";501
"3,6";502
"6,8";503
"3,8";504
"5,3";505
"5,6";506
"5,8";507
"3,2";508
"3,4";509
"3,7";511
"6,2";512
"6,4";513
"6,7";514
"8,2";515
"8,4";516
"8,7";517
